Category,Dataset,Model,Categories_Distances,Num_Features,AIC,F1
ChEMBL,assays_vertical_50_ac2_ev,bert-base-uncased,Classiques,7,14.129394067119673,0.625
ChEMBL,assays_both_50_1_ac2_av,bert-base-uncased,Classiques,7,14.129394067119673,1.0
ChEMBL,assays_both_0_30_ec_av,bert-base-uncased,Classiques,7,14.129394067119673,0.8
ChEMBL,assays_both_50_50_ec_av,bert-base-uncased,Classiques,7,14.129394067119673,0.7777777777777778
ChEMBL,assays_both_0_1_ac4_ev,bert-base-uncased,Classiques,7,14.129394067119673,1.0
ChEMBL,assays_vertical_1_ac1_av,bert-base-uncased,Classiques,7,14.129394067119673,0.0
TPC_DI,prospect_both_50_30_ac5_av,bert-base-uncased,Classiques,7,14.129394067119673,1.0
TPC_DI,prospect_both_0_1_ac1_ev,bert-base-uncased,Classiques,7,14.129394067119673,1.0
TPC_DI,prospect_vertical_70_ac2_av,bert-base-uncased,Classiques,7,14.129394067119673,0.8571428571428571
TPC_DI,prospect_vertical_50_ac5_av,bert-base-uncased,Classiques,7,14.129394067119673,0.9565217391304348
TPC_DI,prospect_vertical_1_ac5_av,bert-base-uncased,Classiques,7,14.129394067119673,1.0
TPC_DI,prospect_vertical_70_ac3_ev,bert-base-uncased,Classiques,7,14.129394067119673,0.8571428571428571
TPC_DI,prospect_both_50_70_ac5_ev,bert-base-uncased,Classiques,7,14.129394067119673,0.9655172413793104
TPC_DI,prospect_both_0_50_ac5_av,bert-base-uncased,Classiques,7,14.129394067119673,0.9523809523809523
TPC_DI,prospect_horizontal_100_ac1_ev,bert-base-uncased,Classiques,7,14.129394067119673,0.9767441860465116
TPC_DI,prospect_both_50_50_ac2_ev,bert-base-uncased,Classiques,7,14.129394067119673,0.8
TPC_DI,prospect_both_0_50_ac4_ev,bert-base-uncased,Classiques,7,14.129394067119673,1.0
TPC_DI,prospect_horizontal_0_ac1_ev,bert-base-uncased,Classiques,7,14.129394067119673,0.926829268292683
TPC_DI,prospect_horizontal_50_ac4_ev,bert-base-uncased,Classiques,7,14.129394067119673,0.9767441860465116
TPC_DI,prospect_both_0_30_ac1_av,bert-base-uncased,Classiques,7,14.129394067119673,1.0
TPC_DI,prospect_both_0_50_ec_av,bert-base-uncased,Classiques,7,14.129394067119673,0.9523809523809523
TPC_DI,prospect_vertical_1_ec_av,bert-base-uncased,Classiques,7,14.129394067119673,1.0
TPC_DI,prospect_both_50_1_ec_ev,bert-base-uncased,Classiques,7,14.129394067119673,1.0
TPC_DI,prospect_vertical_30_ac4_ev,bert-base-uncased,Classiques,7,14.129394067119673,1.0
TPC_DI,prospect_horizontal_50_ac1_av,bert-base-uncased,Classiques,7,14.129394067119673,0.9767441860465116
TPC_DI,prospect_both_50_50_ac5_av,bert-base-uncased,Classiques,7,14.129394067119673,0.9
TPC_DI,prospect_both_0_50_ac3_av,bert-base-uncased,Classiques,7,14.129394067119673,0.7777777777777778
TPC_DI,prospect_both_0_70_ac5_ev,bert-base-uncased,Classiques,7,14.129394067119673,0.8888888888888888
TPC_DI,prospect_both_50_50_ac4_ev,bert-base-uncased,Classiques,7,14.129394067119673,0.9523809523809523
TPC_DI,prospect_both_0_1_ec_av,bert-base-uncased,Classiques,7,14.129394067119673,1.0
TPC_DI,prospect_vertical_70_ac4_av,bert-base-uncased,Classiques,7,14.129394067119673,0.8888888888888888
TPC_DI,prospect_vertical_50_ac3_av,bert-base-uncased,Classiques,7,14.129394067119673,0.8571428571428571
TPC_DI,prospect_both_50_30_ac3_av,bert-base-uncased,Classiques,7,14.129394067119673,1.0
TPC_DI,prospect_both_0_30_ac5_av,bert-base-uncased,Classiques,7,14.129394067119673,0.8
TPC_DI,prospect_both_0_30_ac4_ev,bert-base-uncased,Classiques,7,14.129394067119673,0.9090909090909091
TPC_DI,prospect_both_50_1_ac2_av,bert-base-uncased,Classiques,7,14.129394067119673,1.0
TPC_DI,prospect_both_0_1_ac4_av,bert-base-uncased,Classiques,7,14.129394067119673,1.0
TPC_DI,prospect_horizontal_100_ec_ev,bert-base-uncased,Classiques,7,14.129394067119673,1.0
TPC_DI,prospect_both_50_30_ac1_av,bert-base-uncased,Classiques,7,14.129394067119673,1.0
TPC_DI,prospect_both_50_50_ec_av,bert-base-uncased,Classiques,7,14.129394067119673,1.0
TPC_DI,prospect_both_0_70_ec_av,bert-base-uncased,Classiques,7,14.129394067119673,0.9655172413793104
TPC_DI,prospect_vertical_30_ac2_av,bert-base-uncased,Classiques,7,14.129394067119673,0.6
TPC_DI,prospect_both_0_70_ac3_av,bert-base-uncased,Classiques,7,14.129394067119673,0.9333333333333333
TPC_DI,prospect_vertical_70_ac2_ev,bert-base-uncased,Classiques,7,14.129394067119673,0.8148148148148148
TPC_DI,prospect_both_50_30_ac5_ev,bert-base-uncased,Classiques,7,14.129394067119673,0.9090909090909091
TPC_DI,prospect_both_50_1_ac4_ev,bert-base-uncased,Classiques,7,14.129394067119673,1.0
TPC_DI,prospect_horizontal_0_ac2_ev,bert-base-uncased,Classiques,7,14.129394067119673,0.9767441860465116
TPC_DI,prospect_both_50_30_ec_av,bert-base-uncased,Classiques,7,14.129394067119673,1.0
TPC_DI,prospect_both_50_30_ac3_ev,bert-base-uncased,Classiques,7,14.129394067119673,0.9090909090909091
TPC_DI,prospect_both_50_1_ac1_av,bert-base-uncased,Classiques,7,14.129394067119673,1.0
TPC_DI,prospect_vertical_1_ac2_av,bert-base-uncased,Classiques,7,14.129394067119673,1.0
TPC_DI,prospect_both_50_70_ac3_av,bert-base-uncased,Classiques,7,14.129394067119673,0.8888888888888888
TPC_DI,prospect_both_50_70_ac1_av,bert-base-uncased,Classiques,7,14.129394067119673,0.9655172413793104
TPC_DI,prospect_horizontal_100_ac5_av,bert-base-uncased,Classiques,7,14.129394067119673,1.0
TPC_DI,prospect_horizontal_0_ac5_av,bert-base-uncased,Classiques,7,14.129394067119673,0.9767441860465116
TPC_DI,prospect_both_0_30_ec_av,bert-base-uncased,Classiques,7,14.129394067119673,1.0
TPC_DI,prospect_both_0_1_ac4_ev,bert-base-uncased,Classiques,7,14.129394067119673,1.0
TPC_DI,prospect_vertical_50_ac1_ev,bert-base-uncased,Classiques,7,14.129394067119673,0.8421052631578947
TPC_DI,prospect_both_50_1_ac2_ev,bert-base-uncased,Classiques,7,14.129394067119673,1.0
Wikidata,musicians_semjoinable,bert-base-uncased,Classiques,7,14.129394067119673,0.2222222222222222
Magellan,itunes_amazon,bert-base-uncased,Spectral,5,10.39330819475398,0.0
Magellan,amazon_google_exp,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_both_0_1_ac1_ev,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_vertical_30_ac1_ev,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_horizontal_0_ac5_av,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_both_50_30_ac4_av,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_horizontal_0_ac4_ev,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_both_50_50_ac3_ev,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_horizontal_50_ac3_ev,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_horizontal_100_ac1_av,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_both_0_30_ac2_av,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_both_50_50_ac2_av,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_vertical_70_ac3_av,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_vertical_50_ac5_ev,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_vertical_50_ac4_av,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_horizontal_100_ac2_ev,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_both_50_50_ac1_ev,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_both_0_1_ac3_ev,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_vertical_30_ac2_av,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_both_0_70_ac1_av,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_both_0_30_ac5_ev,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_both_50_70_ac2_ev,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_both_50_1_ac1_av,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_both_50_30_ac3_ev,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_both_50_30_ac2_av,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_vertical_1_ac3_ev,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_horizontal_0_ac1_av,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_both_50_30_ac1_ev,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_vertical_30_ac4_av,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_horizontal_100_ac4_ev,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_both_0_70_ec_av,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_vertical_50_ac2_av,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_both_50_50_ac2_ev,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_both_50_50_ac3_av,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_vertical_70_ac1_ev,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_vertical_30_ec_av,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_both_0_70_ac2_av,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_both_0_50_ac4_ev,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_horizontal_0_ac5_ev,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_both_0_50_ec_ev,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_both_0_70_ac1_ev,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_vertical_30_ac3_av,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_both_0_30_ac1_av,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_horizontal_100_ac3_ev,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_horizontal_100_ac2_av,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_vertical_50_ac5_av,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_horizontal_0_ac2_av,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_horizontal_0_ac3_ev,bert-base-uncased,Spectral,5,10.39330819475398,0.0
ChEMBL,assays_both_50_30_ac3_av,bert-base-uncased,Spectral,5,10.39330819475398,0.0
